NCT ID,Trial Title,Pre-Digested Summary,Base Cancer,Subtype/Histology,Biomarkers,Clinical State / Descriptors,Stage Category
NCT05244239,"A Phase I Study of Palliative Radiotherapy with Lurbinectedin in Patients with Extensive Stage Small Cell Lung Cancer","Display: Extensive Stage Small Cell Lung Cancer (ES-SCLC)
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Pathologically confirmed Extensive Stage Small Cell Lung Cancer (ES-SCLC)
• Must have progressed after first-line systemic therapy
Key Exclusion:
• Pregnancy or breastfeeding",Lung Cancer,Small Cell Lung Cancer,N/A,"Extensive Stage, Progressed on 1st Line Therapy",Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Breast Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Lung Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Colorectal Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Prostate Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Melanoma,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Head and Neck Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Bladder Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Kidney Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Pancreatic Cancer,N/A,N/A,Brain Metastases,Metastatic
